median ul throughput:400.0, 400.0, 400.0, dl throughput:400.0, 400.0, 400.0, median ul mbs throughput:400.0, 400.0, 400.0, dl mbsthroughput:400.0, 400.0, 400.0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:400.0, 400.0, 400.0, dl throughput:400.0, 400.0, 400.0, median ul mbs throughput:400.0, 400.0, 400.0, dl mbsthroughput:400.0, 400.0, 400.0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:400.0, 400.0, 400.0, dl throughput:400.0, 400.0, 400.0, median ul mbs throughput:400.0, 400.0, 400.0, dl mbsthroughput:400.0, 400.0, 400.0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:400.0, 400.0, 400.0, dl throughput:400.0, 400.0, 400.0, median ul mbs throughput:400.0, 400.0, 400.0, dl mbsthroughput:400.0, 400.0, 400.0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:400.0, 400.0, 200.0, dl throughput:400.0, 400.0, 400.0, median ul mbs throughput:400.0, 400.0, 200.0, dl mbsthroughput:400.0, 400.0, 400.0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:400.0, 400.0, 400.0, dl throughput:400.0, 400.0, 230.0, median ul mbs throughput:400.0, 400.0, 400.0, dl mbsthroughput:400.0, 400.0, 230.0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:400.0, 400.0, 400.0, dl throughput:400.0, 400.0, 400.0, median ul mbs throughput:400.0, 400.0, 400.0, dl mbsthroughput:400.0, 400.0, 400.0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:400.0, 400.0, 400.0, dl throughput:400.0, 400.0, 400.0, median ul mbs throughput:400.0, 400.0, 400.0, dl mbsthroughput:400.0, 400.0, 400.0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:400.0, 400.0, 400.0, dl throughput:400.0, 300.0, 98.0, median ul mbs throughput:400.0, 400.0, 400.0, dl mbsthroughput:400.0, 300.0, 98.0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:400.0, 400.0, 400.0, dl throughput:400.0, 400.0, 400.0, median ul mbs throughput:400.0, 400.0, 400.0, dl mbsthroughput:400.0, 400.0, 400.0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:193.33333333333331, 133.33333333333334, 133.33333333333334, dl throughput:400.0, 400.0, 400.0, median ul mbs throughput:193.33333333333331, 133.33333333333334, 133.33333333333334, dl mbsthroughput:400.0, 400.0, 400.0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
